ean,name,full_name,shelf_key,shelf_name,position,source_sheet,image_url,image_local,package_status,notes
5410288302850,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,26,Jarzeniowki_str_2,,fotki/placeholdery/5410288302850.jpg,miniatura_robocza,
5410288302560,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,27,Jarzeniowki_str_2,,fotki/placeholdery/5410288302560.jpg,miniatura_robocza,
5410288302867,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,28,Jarzeniowki_str_2,,fotki/placeholdery/5410288302867.jpg,miniatura_robocza,
5410288302201,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,29,Jarzeniowki_str_2,,fotki/placeholdery/5410288302201.jpg,miniatura_robocza,
5410288302218,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,30,Jarzeniowki_str_2,,fotki/placeholdery/5410288302218.jpg,miniatura_robocza,
8720169287525,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,31,Jarzeniowki_str_2,,fotki/placeholdery/8720169287525.jpg,miniatura_robocza,
8718895541296,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,32,Jarzeniowki_str_2,,fotki/placeholdery/8718895541296.jpg,miniatura_robocza,
5410288302256,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,33,Jarzeniowki_str_2,,fotki/placeholdery/5410288302256.jpg,miniatura_robocza,
5410288302249,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,34,Jarzeniowki_str_2,,fotki/placeholdery/5410288302249.jpg,miniatura_robocza,
5410288302232,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,35,Jarzeniowki_str_2,,fotki/placeholdery/5410288302232.jpg,miniatura_robocza,
5410288302263,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,36,Jarzeniowki_str_2,,fotki/placeholdery/5410288302263.jpg,miniatura_robocza,
5410288302270,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,37,Jarzeniowki_str_2,,fotki/placeholdery/5410288302270.jpg,miniatura_robocza,
5410288302287,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,38,Jarzeniowki_str_2,,fotki/placeholdery/5410288302287.jpg,miniatura_robocza,
4306517626310,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,39,Jarzeniowki_str_2,,fotki/placeholdery/4306517626310.jpg,miniatura_robocza,
4306517626341,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,40,Jarzeniowki_str_2,,fotki/placeholdery/4306517626341.jpg,miniatura_robocza,
4306517626327,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,41,Jarzeniowki_str_2,,fotki/placeholdery/4306517626327.jpg,miniatura_robocza,
4306517626334,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,42,Jarzeniowki_str_2,,fotki/placeholdery/4306517626334.jpg,miniatura_robocza,
8720169309623,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,43,Jarzeniowki_str_2,,fotki/placeholdery/8720169309623.jpg,miniatura_robocza,
8720169309647,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,44,Jarzeniowki_str_2,,fotki/placeholdery/8720169309647.jpg,miniatura_robocza,
8720169308862,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,45,Jarzeniowki_str_2,,fotki/placeholdery/8720169308862.jpg,miniatura_robocza,
8720169308909,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,46,Jarzeniowki_str_2,,fotki/placeholdery/8720169308909.jpg,miniatura_robocza,
8720169308886,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,47,Jarzeniowki_str_2,,fotki/placeholdery/8720169308886.jpg,miniatura_robocza,
8720169308923,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,48,Jarzeniowki_str_2,,fotki/placeholdery/8720169308923.jpg,miniatura_robocza,
4058075822403,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,49,Jarzeniowki_str_2,,fotki/placeholdery/4058075822403.jpg,miniatura_robocza,
4058075822427,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,50,Jarzeniowki_str_2,,fotki/placeholdery/4058075822427.jpg,miniatura_robocza,
4058075823655,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,51,Jarzeniowki_str_2,,fotki/placeholdery/4058075823655.jpg,miniatura_robocza,
4058075823679,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,52,Jarzeniowki_str_2,,fotki/placeholdery/4058075823679.jpg,miniatura_robocza,
5410288302874,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,53,Jarzeniowki_str_2,,fotki/placeholdery/5410288302874.jpg,miniatura_robocza,
5410288302577,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,54,Jarzeniowki_str_2,,fotki/placeholdery/5410288302577.jpg,miniatura_robocza,
5410288302881,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,55,Jarzeniowki_str_2,,fotki/placeholdery/5410288302881.jpg,miniatura_robocza,
5410288302898,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,56,Jarzeniowki_str_2,,fotki/placeholdery/5410288302898.jpg,miniatura_robocza,
5410288302584,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,57,Jarzeniowki_str_2,,fotki/placeholdery/5410288302584.jpg,miniatura_robocza,
5410288302904,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,58,Jarzeniowki_str_2,,fotki/placeholdery/5410288302904.jpg,miniatura_robocza,
